Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
ASV286,ASV286,,4,0.382784,0.408958,815.337188,6
ASV287,ASV287,,4,0.367958,0.389686,385.440587,3
ASV288,ASV288,,5,0.362009,0.385885,577.554627,3
ASV290,ASV290,,4,0.38255,0.408293,752.175554,5
ASV291,ASV291,,4,0.383486,0.412148,932.997773,1
ASV292,ASV292,,4,0.377256,0.402313,752.058598,0
ASV293,ASV293,,5,0.349693,0.369006,243.076494,6
ASV295,ASV295,,4,0.349888,0.368288,312.581255,5
ASV296,ASV296,,4,0.34814,0.364567,186.04849,1
ASV297,ASV297,,4,0.363689,0.386098,443.294429,1
ASV298,ASV298,,4,0.362637,0.383573,375.301262,6
ASV30,ASV30,,4,0.360759,0.381579,553.727512,5
ASV300,ASV300,,4,0.371006,0.394471,499.495269,1
ASV301,ASV301,,4,0.365172,0.389022,477.050512,4
ASV305,ASV305,,4,0.368607,0.389952,720.440601,6
ASV306,ASV306,,4,0.361383,0.383838,468.587729,6
ASV308,ASV308,,4,0.356858,0.380649,407.212578,5
ASV309,ASV309,,4,0.396083,0.426502,1351.255896,6
ASV31,ASV31,,4,0.363689,0.385035,497.159505,5
ASV311,ASV311,,4,0.367742,0.390883,697.58581,6
ASV314,ASV314,,4,0.387755,0.418262,1287.839493,1
ASV315,ASV315,,4,0.380923,0.406964,906.608446,0
ASV316,ASV316,,4,0.373659,0.396332,620.961762,1
ASV317,ASV317,,4,0.331395,0.352339,73.418577,0
ASV318,ASV318,,4,0.361592,0.383041,494.264718,3
ASV319,ASV319,,4,0.369912,0.393009,594.585477,5
ASV32,ASV32,,4,0.353041,0.371079,215.016619,5
ASV324,ASV324,,4,0.365811,0.388623,535.609481,0
ASV325,ASV325,,4,0.368174,0.390218,486.859276,6
ASV326,ASV326,,4,0.365811,0.387693,546.503445,6
ASV328,ASV328,,4,0.360345,0.381845,454.72861,5
ASV330,ASV330,,4,0.331395,0.352472,200.847213,4
ASV331,ASV331,,4,0.371666,0.399522,712.956023,0
ASV332,ASV332,,4,0.375674,0.40404,798.540394,0
ASV333,ASV333,,4,0.373214,0.39899,782.14363,6
ASV334,ASV334,,4,0.365598,0.387028,390.134265,5
ASV335,ASV335,,4,0.373882,0.39992,682.131295,0
ASV337,ASV337,,4,0.366881,0.388889,304.335512,1
ASV339,ASV339,,4,0.357469,0.382908,461.648583,4
ASV34,ASV34,,4,0.371666,0.39673,456.154175,1
ASV342,ASV342,,4,0.392365,0.420787,1344.875667,3
ASV344,ASV344,,4,0.356048,0.383041,423.535274,0
ASV345,ASV345,,4,0.366238,0.389819,682.349399,1
ASV346,ASV346,,4,0.354839,0.374535,356.271899,3
ASV348,ASV348,,4,0.377711,0.404838,875.685459,3
ASV349,ASV349,,4,0.354839,0.376528,480.222523,6
ASV350,ASV350,,4,0.360759,0.381313,444.635081,5
ASV351,ASV351,,4,0.368824,0.390085,507.261286,6
ASV353,ASV353,,4,0.377939,0.40723,904.326952,0
ASV355,ASV355,,4,0.384663,0.410952,1003.695577,6
ASV356,ASV356,,4,0.38,0.407097,823.047475,5
ASV357,ASV357,,4,0.364959,0.388224,538.008675,0
ASV358,ASV358,,4,0.376125,0.403376,677.750491,0
ASV359,ASV359,,4,0.375,0.398724,701.222352,1
ASV36,ASV36,,4,0.362847,0.385035,292.200447,0
ASV362,ASV362,,4,0.346792,0.365896,224.227496,3
ASV363,ASV363,,4,0.362428,0.384636,462.673413,6
ASV364,ASV364,,4,0.358286,0.379187,518.321637,4
ASV365,ASV365,,4,0.355442,0.381047,441.211868,0
ASV366,ASV366,,4,0.372549,0.398724,1003.723792,4
ASV367,ASV367,,4,0.372992,0.399654,677.218212,3
ASV368,ASV368,,4,0.384899,0.415338,858.564601,0
ASV370,ASV370,,4,0.371666,0.394737,665.382568,5
ASV372,ASV372,,4,0.393103,0.422913,1423.775988,6
ASV373,ASV373,,4,0.377256,0.402711,814.569472,1
ASV374,ASV374,,4,0.343186,0.361244,145.960599,0
ASV375,ASV375,,4,0.384899,0.412148,975.260647,5
ASV376,ASV376,,4,0.372107,0.39899,835.748999,0
ASV378,ASV378,,4,0.376125,0.401116,665.407997,5
ASV379,ASV379,,4,0.302023,0.317916,139.696669,4
ASV38,ASV38,,4,0.366881,0.391946,783.618245,4
ASV381,ASV381,,4,0.374328,0.401914,998.500703,4
ASV382,ASV382,,4,0.315551,0.331738,50.582672,2
ASV383,ASV383,,4,0.33746,0.355662,275.435354,5
ASV386,ASV386,,4,0.377711,0.402313,764.515674,3
ASV387,ASV387,,4,0.326733,0.347422,138.587548,4
ASV388,ASV388,,4,0.357062,0.378655,424.335295,4
ASV389,ASV389,,4,0.365811,0.390351,536.919026,4
ASV39,ASV39,,4,0.377256,0.403907,730.436665,5
ASV391,ASV391,,4,0.363057,0.388091,629.731653,0
ASV392,ASV392,,4,0.332097,0.352073,245.396077,2
ASV393,ASV393,,4,0.372549,0.39673,839.623758,2
