Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub
ASV619,ASV619,,4,0.356204,0.380284,424.37954,1,0.039372,0.039371
ASV620,ASV620,,4,0.377119,0.401017,786.835169,7,0.03652,0.03652
ASV621,ASV621,,4,0.364327,0.38764,644.077066,6,0.031014,0.031014
ASV624,ASV624,,4,0.365396,0.39152,692.495941,6,0.050978,0.050979
ASV625,ASV625,,4,0.357635,0.378277,521.979341,4,0.022802,0.022801
ASV628,ASV628,,4,0.361159,0.382022,396.234376,3,0.027372,0.027372
ASV629,ASV629,,4,0.330329,0.351124,176.225349,4,0.016606,0.016605
ASV63,ASV63,,4,0.377576,0.403157,915.401873,6,0.045724,0.045724
ASV632,ASV632,,4,0.349803,0.370251,325.825227,8,0.02414,0.02414
ASV633,ASV633,,4,0.345344,0.364366,354.296467,5,0.01811,0.01811
ASV634,ASV634,,4,0.370392,0.39473,670.265891,2,0.04272,0.042719
ASV635,ASV635,,4,0.351779,0.372124,470.97788,5,0.020265,0.020265
ASV638,ASV638,,4,0.346111,0.366105,399.621562,6,0.020024,0.020024
ASV639,ASV639,,4,0.350591,0.373462,465.618795,4,0.025725,0.025724
ASV64,ASV64,,4,0.387197,0.416667,1297.385528,3,0.066972,0.066972
ASV644,ASV644,,5,0.35743,0.378197,346.620473,4,0.030464,0.030464
ASV646,ASV646,,4,0.353977,0.372793,285.214694,8,0.024411,0.024411
ASV648,ASV648,,4,0.356407,0.377073,444.215389,2,0.02434,0.024339
ASV649,ASV649,,4,0.333869,0.35206,166.475107,5,0.01494,0.01494
ASV65,ASV65,,4,0.380574,0.407838,719.31956,1,0.068274,0.068274
ASV651,ASV651,,4,0.355594,0.378143,396.394552,2,0.02808,0.02808
ASV653,ASV653,,4,0.343251,0.364232,197.756695,3,0.029045,0.029045
ASV654,ASV654,,4,0.352376,0.373194,290.965438,8,0.028575,0.028575
ASV656,ASV656,,4,0.375981,0.400348,718.577433,7,0.04245,0.042449
ASV657,ASV657,,4,0.358046,0.379213,317.86904,3,0.031174,0.031174
ASV659,ASV659,,4,0.356816,0.379615,532.747588,4,0.03077,0.03077
ASV66,ASV66,,4,0.370172,0.394195,607.532347,3,0.044645,0.044646
ASV663,ASV663,,4,0.361789,0.382558,404.492819,0,0.031041,0.031041
ASV664,ASV664,,4,0.358458,0.37908,329.072288,8,0.030752,0.030751
ASV668,ASV668,,4,0.352575,0.372927,446.915144,4,0.023706,0.023706
ASV674,ASV674,,4,0.35158,0.372793,351.725527,2,0.026328,0.026327
ASV679,ASV679,,4,0.331559,0.350187,144.715585,8,0.01747,0.01747
ASV68,ASV68,,4,0.364115,0.38443,453.650164,7,0.029838,0.029837
ASV681,ASV681,,4,0.33988,0.360086,220.188449,1,0.021341,0.021341
ASV682,ASV682,,4,0.353776,0.373863,333.481468,4,0.023239,0.023239
ASV684,ASV684,,4,0.359285,0.381086,531.663315,3,0.029147,0.029147
ASV685,ASV685,,4,0.355391,0.375468,343.905419,2,0.023329,0.023329
ASV686,ASV686,,4,0.354179,0.373863,350.186525,6,0.023415,0.023415
ASV687,ASV687,,4,0.348824,0.369449,371.854495,4,0.024751,0.02475
